from.id,from.type,to.id,to.type
PREMERA,Companies,BCBSAK,Franchise
BCBSAL,Companies,BCBSAL,Franchise
BCBSAR,Companies,BCBSAR,Franchise
BCBSAZ,Companies,BCBSAZ,Franchise
BCBSCA,Companies,BCBSCA,Franchise
Elevance,Companies,BCBSCO,Franchise
Elevance,Companies,BCBSCT,Franchise
CAREFIRST,Companies,BCBSDC,Franchise
HIGHMARK,Companies,BCBSDE,Franchise
BCBSFL,Companies,BCBSFL,Franchise
Elevance,Companies,BCBSGA,Franchise
BCBSHI,Companies,BCBSHI,Franchise
WELLMARK,Companies,BCBSIA,Franchise
BCBSID,Companies,BCBSID,Franchise
HCSC,Companies,BCBSIL,Franchise
Elevance,Companies,BCBSIN,Franchise
BCBSKC,Companies,BCBSKC,Franchise
BCBSKS,Companies,BCBSKS,Franchise
Elevance,Companies,BCBSKY,Franchise
BCBSLA,Companies,BCBSLA,Franchise
BCBSMA,Companies,BCBSMA,Franchise
CAREFIRST,Companies,BCBSMD,Franchise
Elevance,Companies,BCBSME,Franchise
BCBSMI,Companies,BCBSMI,Franchise
BCBSMN,Companies,BCBSMN,Franchise
Elevance,Companies,BCBSMO,Franchise
BCBSMS,Companies,BCBSMS,Franchise
HCSC,Companies,BCBSMT,Franchise
BCBSNC,Companies,BCBSNC,Franchise
BCBSND,Companies,BCBSND,Franchise
Elevance,Companies,BCBSNE,Franchise
BCBSNE,Companies,BCBSNE,Franchise
Elevance,Companies,BCBSNH,Franchise
HORIZON,Companies,BCBSNJ,Franchise
HCSC,Companies,BCBSNM,Franchise
Elevance,Companies,BCBSNV,Franchise
Elevance,Companies,BCBSNY,Franchise
EXCELLUS,Companies,BCBSNY,Franchise
Elevance,Companies,BCBSOH,Franchise
HCSC,Companies,BCBSOK,Franchise
CHS,Companies,BCBSOR,Franchise
CPC,Companies,BCBSPA,Franchise
TSMC,Companies,BCBSPR,Franchise
BCBSRI,Companies,BCBSRI,Franchise
BCBSSC,Companies,BCBSSC,Franchise
WELLMARK,Companies,BCBSSD,Franchise
BCBSTN,Companies,BCBSTN,Franchise
HCSC,Companies,BCBSTX,Franchise
CHS,Companies,BCBSUT,Franchise
Elevance,Companies,BCBSVA,Franchise
CAREFIRST,Companies,BCBSVA,Franchise
BCBSVT,Companies,BCBSVT,Franchise
CHS,Companies,BCBSWA,Franchise
Elevance,Companies,BCBSWI,Franchise
HIGHMARK,Companies,BCBSWV,Franchise
BCBSWY,Companies,BCBSWY,Franchise
Elevance,Companies,EHBSCA,Franchise
HIGHMARK,Companies,HMBSNY,Franchise
HIGHMARK,Companies,HMBSPA,Franchise
CHS,Companies,IDBSID,Franchise
IBC,Companies,INBCPA,Franchise
PREMERA,Companies,PRBCWA,Franchise
2000,State,BCBSAK,Franchise
1000,State,BCBSAL,Franchise
5000,State,BCBSAR,Franchise
4000,State,BCBSAZ,Franchise
6000,State,BCBSCA,Franchise
8000,State,BCBSCO,Franchise
9000,State,BCBSCT,Franchise
11000,State,BCBSDC,Franchise
10000,State,BCBSDE,Franchise
12000,State,BCBSFL,Franchise
13000,State,BCBSGA,Franchise
15000,State,BCBSHI,Franchise
19000,State,BCBSIA,Franchise
16000,State,BCBSID,Franchise
17000,State,BCBSIL,Franchise
18000,State,BCBSIN,Franchise
29000,State,BCBSKC,Franchise
20000,State,BCBSKS,Franchise
21000,State,BCBSKY,Franchise
22000,State,BCBSLA,Franchise
25000,State,BCBSMA,Franchise
24000,State,BCBSMD,Franchise
23000,State,BCBSME,Franchise
26000,State,BCBSMI,Franchise
27000,State,BCBSMN,Franchise
29000,State,BCBSMO,Franchise
28000,State,BCBSMS,Franchise
30000,State,BCBSMT,Franchise
37000,State,BCBSNC,Franchise
38000,State,BCBSND,Franchise
31000,State,BCBSNE,Franchise
31000,State,BCBSNE,Franchise
33000,State,BCBSNH,Franchise
34000,State,BCBSNJ,Franchise
35000,State,BCBSNM,Franchise
32000,State,BCBSNV,Franchise
36000,State,BCBSNY,Franchise
36000,State,BCBSNY,Franchise
39000,State,BCBSOH,Franchise
40000,State,BCBSOK,Franchise
41000,State,BCBSOR,Franchise
42000,State,BCBSPA,Franchise
72000,State,BCBSPR,Franchise
44000,State,BCBSRI,Franchise
45000,State,BCBSSC,Franchise
46000,State,BCBSSD,Franchise
47000,State,BCBSTN,Franchise
48000,State,BCBSTX,Franchise
49000,State,BCBSUT,Franchise
51000,State,BCBSVA,Franchise
51000,State,BCBSVA,Franchise
50000,State,BCBSVT,Franchise
53000,State,BCBSWA,Franchise
55000,State,BCBSWI,Franchise
54000,State,BCBSWV,Franchise
56000,State,BCBSWY,Franchise
6000,State,EHBSCA,Franchise
36000,State,HMBSNY,Franchise
42000,State,HMBSPA,Franchise
16000,State,IDBSID,Franchise
42000,State,INBCPA,Franchise
53000,State,PRBCWA,Franchise