FIPS,name,alias,capitol,nickname
1000,Alabama,AL,Montgomery,Yellowhammer State; Heart of Dixie; Camellia State
2000,Alaska,AK,Juneau,The Last Frontier
4000,Arizona,AZ,Phoenix,Grand Canyon State; Copper State
5000,Arkansas,AR,Little Rock,The Natural State; Land of Opportunity; The Razorback State
6000,California,CA,Sacramento,Golden State
8000,Colorado,CO,Denver,Centennial State; Colorful Colorado
9000,Connecticut,CT,Hartford,Constitution State; Nutmeg State
10000,Delaware,DE,Dover,First State; Diamond State; Blue Hen State; Small Wonder
11000,District of Columbia,DC,Washington,National Captial
12000,Florida,FL,Tallahassee,Sunshine State
13000,Georgia,GA,Atlanta,Peach State; Empire of the South; Goober State
15000,Hawaii,HI,Honolulu,Aloha State; Pineapple State
16000,Idaho,ID,Boise,Gem State; Spud State
17000,Illinois,IL,Springfield,Prairie State; Land of Lincoln
18000,Indiana,IN,Indianapolis,Hoosier State
19000,Iowa,IA,Des Moines,Hawkeye State
20000,Kansas,KS,Topeka,Sunflower State; Salt of the Earth
21000,Kentucky,KY,Frankfort,Bluegrass State
22000,Louisiana,LA,Baton Rouge,Pelican State; Sugar State
23000,Maine,ME,Augusta,Pine Tree State
24000,Maryland,MD,Annapolis,Old Line State; Free State
25000,Massachusetts,MA,Boston,Bay State; Old Colony State
26000,Michigan,MI,Lansing,Great Lakes State; Wolverine State
27000,Minnesota,MN,Saint Paul,North Star State; Gopher State; Land of 10;000 Lakes; Bread and Butter State
28000,Mississippi,MS,Jackson,Magnolia State
29000,Missouri,MO,Jefferson City,Show Me State
30000,Montana,MT,Helena,Treasure State; Big Sky State
31000,Nebraska,NE,Lincoln,Cornhusker State
32000,Nevada,NV,Carson City,Silver State; Battle Born State; Sagebrush State
33000,New Hampshire,NH,Concord,Granite State
34000,New Jersey,NJ,Trenton,Garden State
35000,New Mexico,NM,Santa Fe,Land of Enchantment
36000,New York,NY,Albany,Empire State
37000,North Carolina,NC,Raleigh,Tar Heel State; Old North State
38000,North Dakota,ND,Bismarck,Peace Garden State; Flickertail State; Roughrider State
39000,Ohio,OH,Columbus,Buckeye State; Modern Mother of Presidents
40000,Oklahoma,OK,Oklahoma City,Sooner State
41000,Oregon,OR,Salem,Beaver State
42000,Pennsylvania,PA,Harrisburg,Keystone State; Quaker State
44000,Rhode Island,RI,Providence,Ocean State; Little Rhody
45000,South Carolina,SC,Columbia,Palmetto State
46000,South Dakota,SD,Pierre,Coyote State; Mount Rushmore State
47000,Tennessee,TN,Nashville,Volunteer State; Big Bend State
48000,Texas,TX,Austin,Lone Star State
49000,Utah,UT,Salt Lake City,Beehive State
50000,Vermont,VT,Montpelier,Green Mountain State
51000,Virginia,VA,Richmond,Old Dominion
53000,Washington,WA,Olympia,Evergreen State; Chinook State
54000,West Virginia,WV,Charleston,Mountain State
55000,Wisconsin,WI,Madison,Badger State
56000,Wyoming,WY,Cheyenne,Equality State; Cowboy State
72000,Puerto Rico,PR,San Juan,
78000,Virgin Islands,VI,Charlotte Amalie,